"Reference Area Code","Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"CUB","Cuba","1994","Not applicable","Not applicable","Percent","5.61948"
"CUB","Cuba","1993","Not applicable","Not applicable","Percent","7.07477"
"CUB","Cuba","1991","Not applicable","Not applicable","Percent","7.14497"
"CUB","Cuba","1980","Not applicable","Not applicable","Percent","8.36909"
"CYP","Cyprus","2011","Not applicable","Not applicable","Percent","6.64467"
"CYP","Cyprus","2010","Not applicable","Not applicable","Percent","6.66191"
"CYP","Cyprus","2009","Not applicable","Not applicable","Percent","7.30415"
"CYP","Cyprus","2008","Not applicable","Not applicable","Percent","6.80899"
"CYP","Cyprus","2007","Not applicable","Not applicable","Percent","6.34744"
"CYP","Cyprus","2006","Not applicable","Not applicable","Percent","6.39555"
"CYP","Cyprus","2005","Not applicable","Not applicable","Percent","6.34274"
"CYP","Cyprus","2004","Not applicable","Not applicable","Percent","6.17329"
"CYP","Cyprus","2003","Not applicable","Not applicable","Percent","6.71737"
"CYP","Cyprus","2002","Not applicable","Not applicable","Percent","5.6183"
"CYP","Cyprus","2001","Not applicable","Not applicable","Percent","5.14965"
"CYP","Cyprus","2000","Not applicable","Not applicable","Percent","5.01779"
"CYP","Cyprus","1999","Not applicable","Not applicable","Percent","4.79691"
"CYP","Cyprus","1995","Not applicable","Not applicable","Percent","3.74813"
"CYP","Cyprus","1994","Not applicable","Not applicable","Percent","4.15997"
"CYP","Cyprus","1993","Not applicable","Not applicable","Percent","4.09555"
"CYP","Cyprus","1992","Not applicable","Not applicable","Percent","3.7803"
"CYP","Cyprus","1991","Not applicable","Not applicable","Percent","3.57539"
"CYP","Cyprus","1990","Not applicable","Not applicable","Percent","3.33924"
"CYP","Cyprus","1989","Not applicable","Not applicable","Percent","3.37627"
"CYP","Cyprus","1988","Not applicable","Not applicable","Percent","3.37547"
"CYP","Cyprus","1987","Not applicable","Not applicable","Percent","3.44871"
"CYP","Cyprus","1986","Not applicable","Not applicable","Percent","3.48897"
"CYP","Cyprus","1985","Not applicable","Not applicable","Percent","3.58696"
"CYP","Cyprus","1984","Not applicable","Not applicable","Percent","3.60191"
"CYP","Cyprus","1982","Not applicable","Not applicable","Percent","3.73178"
"CYP","Cyprus","1981","Not applicable","Not applicable","Percent","3.79132"
"CYP","Cyprus","1980","Not applicable","Not applicable","Percent","3.42601"
"CYP","Cyprus","1979","Not applicable","Not applicable","Percent","3.35313"
"CYP","Cyprus","1978","Not applicable","Not applicable","Percent","3.31234"
"CYP","Cyprus","1977","Not applicable","Not applicable","Percent","3.38549"
"CYP","Cyprus","1976","Not applicable","Not applicable","Percent","3.8197"
"CYP","Cyprus","1975","Not applicable","Not applicable","Percent","4.33502"
"CZE","Czech Republic","2012","Not applicable","Not applicable","Percent","4.27011"
"CZE","Czech Republic","2011","Not applicable","Not applicable","Percent","4.28408"
"CZE","Czech Republic","2010","Not applicable","Not applicable","Percent","4.07352"
"CZE","Czech Republic","2009","Not applicable","Not applicable","Percent","4.18041"
"CZE","Czech Republic","2008","Not applicable","Not applicable","Percent","3.75273"
"CZE","Czech Republic","2007","Not applicable","Not applicable","Percent","3.875"
"CZE","Czech Republic","2006","Not applicable","Not applicable","Percent","4.22392"
"CZE","Czech Republic","2005","Not applicable","Not applicable","Percent","3.89869"
"CZE","Czech Republic","2004","Not applicable","Not applicable","Percent","4.02052"
"CZE","Czech Republic","2003","Not applicable","Not applicable","Percent","4.15005"
"CZE","Czech Republic","2002","Not applicable","Not applicable","Percent","3.98298"
"CZE","Czech Republic","2001","Not applicable","Not applicable","Percent","3.75679"
"CZE","Czech Republic","2000","Not applicable","Not applicable","Percent","3.6613"
"CZE","Czech Republic","1999","Not applicable","Not applicable","Percent","3.69324"
"CZE","Czech Republic","1998","Not applicable","Not applicable","Percent","3.60357"
"CZE","Czech Republic","1996","Not applicable","Not applicable","Percent","4.28387"
"CZE","Czech Republic","1995","Not applicable","Not applicable","Percent","4.56385"
"CZE","Czech Republic","1994","Not applicable","Not applicable","Percent","4.6976"
"CZE","Czech Republic","1993","Not applicable","Not applicable","Percent","4.20129"
"CZE","Czech Republic","1992","Not applicable","Not applicable","Percent","3.79021"
"COD","Democratic Republic of the Congo","2013","Not applicable","Not applicable","Percent","2.24475"
"COD","Democratic Republic of the Congo","2010","Not applicable","Not applicable","Percent","1.60244"
"COD","Democratic Republic of the Congo","1988","Not applicable","Not applicable","Percent","0.81484"
"COD","Democratic Republic of the Congo","1987","Not applicable","Not applicable","Percent","0.8612"
"COD","Democratic Republic of the Congo","1986","Not applicable","Not applicable","Percent","0.7225"
"COD","Democratic Republic of the Congo","1985","Not applicable","Not applicable","Percent","0.8257"
"COD","Democratic Republic of the Congo","1984","Not applicable","Not applicable","Percent","0.70414"
"COD","Democratic Republic of the Congo","1983","Not applicable","Not applicable","Percent","1.29945"
"COD","Democratic Republic of the Congo","1982","Not applicable","Not applicable","Percent","2.79982"
"COD","Democratic Republic of the Congo","1981","Not applicable","Not applicable","Percent","2.53505"
"COD","Democratic Republic of the Congo","1980","Not applicable","Not applicable","Percent","2.26731"
"DNK","Denmark","2011","Not applicable","Not applicable","Percent","8.54712"
"DNK","Denmark","2010","Not applicable","Not applicable","Percent","8.61797"
"DNK","Denmark","2009","Not applicable","Not applicable","Percent","8.48798"
"DNK","Denmark","2008","Not applicable","Not applicable","Percent","7.49235"
"DNK","Denmark","2007","Not applicable","Not applicable","Percent","7.61379"
"DNK","Denmark","2006","Not applicable","Not applicable","Percent","7.72784"
"DNK","Denmark","2005","Not applicable","Not applicable","Percent","8.08274"
"DNK","Denmark","2004","Not applicable","Not applicable","Percent","8.21189"
"DNK","Denmark","2003","Not applicable","Not applicable","Percent","8.12194"
"DNK","Denmark","2002","Not applicable","Not applicable","Percent","8.21304"
"DNK","Denmark","2001","Not applicable","Not applicable","Percent","8.21542"
"DNK","Denmark","2000","Not applicable","Not applicable","Percent","8.08435"
"DNK","Denmark","1999","Not applicable","Not applicable","Percent","7.93117"
"DNK","Denmark","1998","Not applicable","Not applicable","Percent","8.10673"
"DNK","Denmark","1996","Not applicable","Not applicable","Percent","7.88494"
"DNK","Denmark","1995","Not applicable","Not applicable","Percent","7.47103"
"DNK","Denmark","1994","Not applicable","Not applicable","Percent","7.47189"
"DNK","Denmark","1993","Not applicable","Not applicable","Percent","7.78547"
"DNK","Denmark","1991","Not applicable","Not applicable","Percent","5.60722"
"DNK","Denmark","1989","Not applicable","Not applicable","Percent","5.8654"
"DNK","Denmark","1988","Not applicable","Not applicable","Percent","6.3596"
"DNK","Denmark","1987","Not applicable","Not applicable","Percent","6.0928"
"DNK","Denmark","1986","Not applicable","Not applicable","Percent","5.85677"
"DNK","Denmark","1980","Not applicable","Not applicable","Percent","5.93262"
"DNK","Denmark","1979","Not applicable","Not applicable","Percent","5.59097"
"DNK","Denmark","1978","Not applicable","Not applicable","Percent","5.76126"
"DNK","Denmark","1977","Not applicable","Not applicable","Percent","5.68559"
"DNK","Denmark","1975","Not applicable","Not applicable","Percent","6.75038"
"DJI","Djibouti","2010","Not applicable","Not applicable","Percent","4.49022"
"DJI","Djibouti","2007","Not applicable","Not applicable","Percent","8.40625"
"DJI","Djibouti","2006","Not applicable","Not applicable","Percent","8.27878"
"DJI","Djibouti","2005","Not applicable","Not applicable","Percent","8.36589"
"DJI","Djibouti","2004","Not applicable","Not applicable","Percent","9.26467"
"DJI","Djibouti","2003","Not applicable","Not applicable","Percent","8.88989"
"DJI","Djibouti","2002","Not applicable","Not applicable","Percent","8.44759"
"DJI","Djibouti","2001","Not applicable","Not applicable","Percent","7.8054"
"DJI","Djibouti","2000","Not applicable","Not applicable","Percent","9.66"
"DJI","Djibouti","1999","Not applicable","Not applicable","Percent","7.62948"
"DMA","Dominica","1999","Not applicable","Not applicable","Percent","4.99184"
"DMA","Dominica","1998","Not applicable","Not applicable","Percent","7.16059"
"DMA","Dominica","1989","Not applicable","Not applicable","Percent","5.17833"
"DOM","Dominican Republic","2007","Not applicable","Not applicable","Percent","2.05124"
"DOM","Dominican Republic","2003","Not applicable","Not applicable","Percent","1.87636"
"DOM","Dominican Republic","2002","Not applicable","Not applicable","Percent","1.97101"
"DOM","Dominican Republic","2001","Not applicable","Not applicable","Percent","2.0237"
"DOM","Dominican Republic","2000","Not applicable","Not applicable","Percent","1.91261"
"DOM","Dominican Republic","1996","Not applicable","Not applicable","Percent","1.23468"
"DOM","Dominican Republic","1995","Not applicable","Not applicable","Percent","1.04848"
"DOM","Dominican Republic","1994","Not applicable","Not applicable","Percent","0.90279"
"DOM","Dominican Republic","1993","Not applicable","Not applicable","Percent","0.78019"
"DOM","Dominican Republic","1985","Not applicable","Not applicable","Percent","1.21019"
"DOM","Dominican Republic","1984","Not applicable","Not applicable","Percent","1.49779"
"DOM","Dominican Republic","1983","Not applicable","Not applicable","Percent","1.56546"
"DOM","Dominican Republic","1982","Not applicable","Not applicable","Percent","1.59754"
"ECU","Ecuador","2012","Not applicable","Not applicable","Percent","4.1657"
"ECU","Ecuador","2011","Not applicable","Not applicable","Percent","4.31455"
"ECU","Ecuador","2010","Not applicable","Not applicable","Percent","4.07574"
"ECU","Ecuador","2000","Not applicable","Not applicable","Percent","1.15093"
"ECU","Ecuador","1999","Not applicable","Not applicable","Percent","1.54734"
"ECU","Ecuador","1998","Not applicable","Not applicable","Percent","2.19537"
"ECU","Ecuador","1995","Not applicable","Not applicable","Percent","1.99764"
"ECU","Ecuador","1986","Not applicable","Not applicable","Percent","6.87238"
"ECU","Ecuador","1985","Not applicable","Not applicable","Percent","5.23335"
"ECU","Ecuador","1984","Not applicable","Not applicable","Percent","4.20342"
"ECU","Ecuador","1977","Not applicable","Not applicable","Percent","2.41884"
"EGY","Egypt","2008","Not applicable","Not applicable","Percent","3.76083"
"EGY","Egypt","2007","Not applicable","Not applicable","Percent","3.68461"
"EGY","Egypt","2006","Not applicable","Not applicable","Percent","4.00178"
"EGY","Egypt","2005","Not applicable","Not applicable","Percent","4.79443"
"EGY","Egypt","2004","Not applicable","Not applicable","Percent","4.67072"
"EGY","Egypt","2003","Not applicable","Not applicable","Percent","4.94563"
"EGY","Egypt","1996","Not applicable","Not applicable","Percent","4.67157"
"EGY","Egypt","1995","Not applicable","Not applicable","Percent","4.604"
"EGY","Egypt","1994","Not applicable","Not applicable","Percent","4.58376"
"EGY","Egypt","1993","Not applicable","Not applicable","Percent","4.1977"
"EGY","Egypt","1992","Not applicable","Not applicable","Percent","4.09639"
"EGY","Egypt","1989","Not applicable","Not applicable","Percent","4.59159"
"EGY","Egypt","1988","Not applicable","Not applicable","Percent","4.51937"
"EGY","Egypt","1983","Not applicable","Not applicable","Percent","5.64235"
"EGY","Egypt","1982","Not applicable","Not applicable","Percent","5.30415"
"EGY","Egypt","1980","Not applicable","Not applicable","Percent","4.2498"
"EGY","Egypt","1978","Not applicable","Not applicable","Percent","4.86171"
"EGY","Egypt","1977","Not applicable","Not applicable","Percent","4.53443"
"EGY","Egypt","1976","Not applicable","Not applicable","Percent","5.02737"
"EGY","Egypt","1975","Not applicable","Not applicable","Percent","5.00846"
"SLV","El Salvador","2011","Not applicable","Not applicable","Percent","3.41749"
"SLV","El Salvador","2010","Not applicable","Not applicable","Percent","3.48668"
"SLV","El Salvador","2009","Not applicable","Not applicable","Percent","3.96954"
"SLV","El Salvador","2008","Not applicable","Not applicable","Percent","3.74166"
"SLV","El Salvador","2007","Not applicable","Not applicable","Percent","3.05447"
"SLV","El Salvador","2006","Not applicable","Not applicable","Percent","3.01268"
"SLV","El Salvador","2005","Not applicable","Not applicable","Percent","2.73246"
"SLV","El Salvador","2003","Not applicable","Not applicable","Percent","2.75909"
"SLV","El Salvador","2002","Not applicable","Not applicable","Percent","2.87054"
"SLV","El Salvador","2000","Not applicable","Not applicable","Percent","2.54708"
"SLV","El Salvador","1999","Not applicable","Not applicable","Percent","2.31992"
"SLV","El Salvador","1998","Not applicable","Not applicable","Percent","2.31992"
"SLV","El Salvador","1975","Not applicable","Not applicable","Percent","0.90451"
"GNQ","Equatorial Guinea","1998","Not applicable","Not applicable","Percent","2.18797"
"ERI","Eritrea","2006","Not applicable","Not applicable","Percent","2.127"
"ERI","Eritrea","2004","Not applicable","Not applicable","Percent","3.14897"
"ERI","Eritrea","2002","Not applicable","Not applicable","Percent","3.5239"
"ERI","Eritrea","2001","Not applicable","Not applicable","Percent","4.04716"
"ERI","Eritrea","1999","Not applicable","Not applicable","Percent","5.26281"
"ERI","Eritrea","1998","Not applicable","Not applicable","Percent","4.62058"
"ERI","Eritrea","1996","Not applicable","Not applicable","Percent","1.63855"
"EST","Estonia","2012","Not applicable","Not applicable","Percent","4.69431"
"EST","Estonia","2011","Not applicable","Not applicable","Percent","5.01738"
"EST","Estonia","2010","Not applicable","Not applicable","Percent","5.52627"
"EST","Estonia","2009","Not applicable","Not applicable","Percent","5.95415"
"EST","Estonia","2008","Not applicable","Not applicable","Percent","5.51751"
"EST","Estonia","2007","Not applicable","Not applicable","Percent","4.66396"
"EST","Estonia","2005","Not applicable","Not applicable","Percent","4.84485"
"EST","Estonia","2004","Not applicable","Not applicable","Percent","4.91181"
"EST","Estonia","2003","Not applicable","Not applicable","Percent","5.29462"
"EST","Estonia","2002","Not applicable","Not applicable","Percent","5.46868"
"EST","Estonia","2001","Not applicable","Not applicable","Percent","5.23648"
"EST","Estonia","2000","Not applicable","Not applicable","Percent","5.34021"
"EST","Estonia","1999","Not applicable","Not applicable","Percent","6.68736"
"EST","Estonia","1998","Not applicable","Not applicable","Percent","6.2986"
"EST","Estonia","1997","Not applicable","Not applicable","Percent","6.4572"
"EST","Estonia","1996","Not applicable","Not applicable","Percent","6.11469"
"EST","Estonia","1995","Not applicable","Not applicable","Percent","6.08896"
"ETH","Ethiopia","2013","Not applicable","Not applicable","Percent","4.49855"
"ETH","Ethiopia","2012","Not applicable","Not applicable","Percent","5.56677"
"ETH","Ethiopia","2011","Not applicable","Not applicable","Percent","5.48577"
"ETH","Ethiopia","2010","Not applicable","Not applicable","Percent","4.49659"
"ETH","Ethiopia","2009","Not applicable","Not applicable","Percent","4.42207"
"ETH","Ethiopia","2008","Not applicable","Not applicable","Percent","5.4082"
"ETH","Ethiopia","2007","Not applicable","Not applicable","Percent","5.45111"
"ETH","Ethiopia","2006","Not applicable","Not applicable","Percent","5.49094"
"ETH","Ethiopia","2002","Not applicable","Not applicable","Percent","3.63245"
"ETH","Ethiopia","2001","Not applicable","Not applicable","Percent","3.70029"
"ETH","Ethiopia","2000","Not applicable","Not applicable","Percent","3.98311"
"ETH","Ethiopia","1997","Not applicable","Not applicable","Percent","2.75794"
"ETH","Ethiopia","1996","Not applicable","Not applicable","Percent","2.77462"
"ETH","Ethiopia","1993","Not applicable","Not applicable","Percent","2.35421"
"ETH","Ethiopia","1986","Not applicable","Not applicable","Percent","2.13795"
"ETH","Ethiopia","1985","Not applicable","Not applicable","Percent","2.33757"
"ETH","Ethiopia","1984","Not applicable","Not applicable","Percent","2.11203"
"ETH","Ethiopia","1983","Not applicable","Not applicable","Percent","2.30206"
"ETH","Ethiopia","1982","Not applicable","Not applicable","Percent","2.11235"
"FJI","Fiji","2013","Not applicable","Not applicable","Percent","3.87738"
"FJI","Fiji","2011","Not applicable","Not applicable","Percent","4.17305"
"FJI","Fiji","2009","Not applicable","Not applicable","Percent","4.49848"
"FJI","Fiji","2008","Not applicable","Not applicable","Percent","4.25357"
"FJI","Fiji","2007","Not applicable","Not applicable","Percent","5.84843"
"FJI","Fiji","2006","Not applicable","Not applicable","Percent","5.60714"
"FJI","Fiji","2005","Not applicable","Not applicable","Percent","5.12197"
"FJI","Fiji","2004","Not applicable","Not applicable","Percent","6.16493"
"FJI","Fiji","2002","Not applicable","Not applicable","Percent","6.24382"
"FJI","Fiji","2001","Not applicable","Not applicable","Percent","5.61714"
"FJI","Fiji","2000","Not applicable","Not applicable","Percent","5.85725"
"FJI","Fiji","1999","Not applicable","Not applicable","Percent","5.15351"
"FJI","Fiji","1998","Not applicable","Not applicable","Percent","5.51262"
"FJI","Fiji","1989","Not applicable","Not applicable","Percent","4.8311"
"FJI","Fiji","1983","Not applicable","Not applicable","Percent","6.48669"
"FJI","Fiji","1981","Not applicable","Not applicable","Percent","5.82011"
"FJI","Fiji","1979","Not applicable","Not applicable","Percent","5.19761"
"FIN","Finland","2013","Not applicable","Not applicable","Percent","7.17948"
"FIN","Finland","2012","Not applicable","Not applicable","Percent","7.19254"
"FIN","Finland","2011","Not applicable","Not applicable","Percent","6.48201"
"FIN","Finland","2010","Not applicable","Not applicable","Percent","6.54071"
"FIN","Finland","2009","Not applicable","Not applicable","Percent","6.48518"
"FIN","Finland","2008","Not applicable","Not applicable","Percent","5.84677"
"FIN","Finland","2007","Not applicable","Not applicable","Percent","5.68609"
"FIN","Finland","2006","Not applicable","Not applicable","Percent","5.9381"
"FIN","Finland","2005","Not applicable","Not applicable","Percent","6.03606"
"FIN","Finland","2004","Not applicable","Not applicable","Percent","6.1685"
"FIN","Finland","2003","Not applicable","Not applicable","Percent","6.17477"
"FIN","Finland","2002","Not applicable","Not applicable","Percent","6.02478"
"FIN","Finland","2001","Not applicable","Not applicable","Percent","5.84797"
"FIN","Finland","2000","Not applicable","Not applicable","Percent","5.71688"
"FIN","Finland","1999","Not applicable","Not applicable","Percent","5.86961"
"FIN","Finland","1996","Not applicable","Not applicable","Percent","6.86053"
"FIN","Finland","1995","Not applicable","Not applicable","Percent","6.80942"
"FIN","Finland","1994","Not applicable","Not applicable","Percent","6.85563"
"FIN","Finland","1993","Not applicable","Not applicable","Percent","7.48367"
"FIN","Finland","1992","Not applicable","Not applicable","Percent","6.51512"
"FIN","Finland","1991","Not applicable","Not applicable","Percent","6.33289"
"FIN","Finland","1990","Not applicable","Not applicable","Percent","5.33591"
"FIN","Finland","1989","Not applicable","Not applicable","Percent","5.07036"
"FIN","Finland","1988","Not applicable","Not applicable","Percent","5.06491"
"FIN","Finland","1987","Not applicable","Not applicable","Percent","5.19813"
"FIN","Finland","1986","Not applicable","Not applicable","Percent","5.09658"
"FIN","Finland","1985","Not applicable","Not applicable","Percent","5.04196"
"FIN","Finland","1984","Not applicable","Not applicable","Percent","4.69558"
"FIN","Finland","1983","Not applicable","Not applicable","Percent","4.85175"
"FIN","Finland","1982","Not applicable","Not applicable","Percent","4.77616"
"FIN","Finland","1981","Not applicable","Not applicable","Percent","4.82994"
"FIN","Finland","1980","Not applicable","Not applicable","Percent","4.82217"
"FIN","Finland","1979","Not applicable","Not applicable","Percent","4.79336"
"FIN","Finland","1976","Not applicable","Not applicable","Percent","5.22444"
"FIN","Finland","1975","Not applicable","Not applicable","Percent","5.02949"
"FRA","France","2012","Not applicable","Not applicable","Percent","5.53343"
"FRA","France","2011","Not applicable","Not applicable","Percent","5.51586"
"FRA","France","2010","Not applicable","Not applicable","Percent","5.68342"
"FRA","France","2009","Not applicable","Not applicable","Percent","5.73848"
"FRA","France","2008","Not applicable","Not applicable","Percent","5.44403"
"FRA","France","2007","Not applicable","Not applicable","Percent","5.44519"
"FRA","France","2006","Not applicable","Not applicable","Percent","5.44211"
"FRA","France","2005","Not applicable","Not applicable","Percent","5.49981"
"FRA","France","2004","Not applicable","Not applicable","Percent","5.63702"
"FRA","France","2003","Not applicable","Not applicable","Percent","5.72294"
"FRA","France","2002","Not applicable","Not applicable","Percent","5.40916"
"FRA","France","2001","Not applicable","Not applicable","Percent","5.41703"
"FRA","France","2000","Not applicable","Not applicable","Percent","5.51674"
"FRA","France","1999","Not applicable","Not applicable","Percent","5.64528"
"FRA","France","1998","Not applicable","Not applicable","Percent","5.6591"
"FRA","France","1996","Not applicable","Not applicable","Percent","5.72616"
"FRA","France","1995","Not applicable","Not applicable","Percent","5.75908"
"FRA","France","1994","Not applicable","Not applicable","Percent","5.5957"
"FRA","France","1993","Not applicable","Not applicable","Percent","5.39988"
"FRA","France","1992","Not applicable","Not applicable","Percent","4.71099"
"FRA","France","1991","Not applicable","Not applicable","Percent","4.81744"
"FRA","France","1990","Not applicable","Not applicable","Percent","4.49228"
"FRA","France","1989","Not applicable","Not applicable","Percent","4.43515"
"FRA","France","1988","Not applicable","Not applicable","Percent","4.52404"
"FRA","France","1987","Not applicable","Not applicable","Percent","4.60277"
"FRA","France","1986","Not applicable","Not applicable","Percent","4.6892"
"FRA","France","1985","Not applicable","Not applicable","Percent","4.83358"
"FRA","France","1984","Not applicable","Not applicable","Percent","4.84958"
"FRA","France","1983","Not applicable","Not applicable","Percent","4.83522"
"FRA","France","1982","Not applicable","Not applicable","Percent","4.83583"
"FRA","France","1981","Not applicable","Not applicable","Percent","4.71512"
"FRA","France","1980","Not applicable","Not applicable","Percent","4.29399"
"FRA","France","1979","Not applicable","Not applicable","Percent","4.26809"
"FRA","France","1978","Not applicable","Not applicable","Percent","4.3325"
"FRA","France","1977","Not applicable","Not applicable","Percent","4.42244"
"FRA","France","1976","Not applicable","Not applicable","Percent","4.41178"
"FRA","France","1975","Not applicable","Not applicable","Percent","4.41425"
"GAB","Gabon","2000","Not applicable","Not applicable","Percent","3.82709"
"GAB","Gabon","1999","Not applicable","Not applicable","Percent","3.08123"
"GAB","Gabon","1998","Not applicable","Not applicable","Percent","3.41966"
"GAB","Gabon","1992","Not applicable","Not applicable","Percent","2.80552"
"GMB","Gambia","2013","Not applicable","Not applicable","Percent","2.76771"
"GMB","Gambia","2012","Not applicable","Not applicable","Percent","4.08975"
"GMB","Gambia","2011","Not applicable","Not applicable","Percent","3.89922"
"GMB","Gambia","2010","Not applicable","Not applicable","Percent","4.15338"
"GMB","Gambia","2009","Not applicable","Not applicable","Percent","3.07235"
"GMB","Gambia","2008","Not applicable","Not applicable","Percent","3.52742"
"GMB","Gambia","2007","Not applicable","Not applicable","Percent","1.30851"
"GMB","Gambia","2006","Not applicable","Not applicable","Percent","1.20949"
"GMB","Gambia","2005","Not applicable","Not applicable","Percent","1.13918"
"GMB","Gambia","2004","Not applicable","Not applicable","Percent","1.0345"
"GMB","Gambia","2003","Not applicable","Not applicable","Percent","1.36338"
"GMB","Gambia","2002","Not applicable","Not applicable","Percent","1.44292"
"GMB","Gambia","2001","Not applicable","Not applicable","Percent","1.1581"
"GMB","Gambia","2000","Not applicable","Not applicable","Percent","1.46587"
"GMB","Gambia","1999","Not applicable","Not applicable","Percent","1.56513"
"GMB","Gambia","1996","Not applicable","Not applicable","Percent","2.56628"
"GMB","Gambia","1995","Not applicable","Not applicable","Percent","2.55356"
"GMB","Gambia","1992","Not applicable","Not applicable","Percent","1.16984"
"GMB","Gambia","1991","Not applicable","Not applicable","Percent","3.78061"
"GMB","Gambia","1990","Not applicable","Not applicable","Percent","2.82584"
"GMB","Gambia","1989","Not applicable","Not applicable","Percent","2.97409"
"GMB","Gambia","1986","Not applicable","Not applicable","Percent","3.48473"
"GMB","Gambia","1985","Not applicable","Not applicable","Percent","4.29515"
"GEO","Georgia","2012","Not applicable","Not applicable","Percent","1.98331"
"GEO","Georgia","2011","Not applicable","Not applicable","Percent","2.69622"
"GEO","Georgia","2009","Not applicable","Not applicable","Percent","3.22238"
"GEO","Georgia","2008","Not applicable","Not applicable","Percent","2.91956"
"GEO","Georgia","2007","Not applicable","Not applicable","Percent","2.69687"
"GEO","Georgia","2006","Not applicable","Not applicable","Percent","3.00364"
"GEO","Georgia","2005","Not applicable","Not applicable","Percent","2.48431"
"GEO","Georgia","2004","Not applicable","Not applicable","Percent","2.9142"
"GEO","Georgia","2003","Not applicable","Not applicable","Percent","2.0656"
"GEO","Georgia","2002","Not applicable","Not applicable","Percent","2.23501"
"GEO","Georgia","2001","Not applicable","Not applicable","Percent","2.1375"
"GEO","Georgia","2000","Not applicable","Not applicable","Percent","2.18107"
"GEO","Georgia","1999","Not applicable","Not applicable","Percent","2.15513"
"GEO","Georgia","1998","Not applicable","Not applicable","Percent","2.10888"
"GEO","Georgia","1994","Not applicable","Not applicable","Percent","6.91566"
"DEU","Germany","2012","Not applicable","Not applicable","Percent","4.9394"
"DEU","Germany","2011","Not applicable","Not applicable","Percent","4.8078"
"DEU","Germany","2010","Not applicable","Not applicable","Percent","4.91368"
"DEU","Germany","2009","Not applicable","Not applicable","Percent","4.88048"
"DEU","Germany","2008","Not applicable","Not applicable","Percent","4.40954"
"DEU","Germany","2007","Not applicable","Not applicable","Percent","4.34303"
"DEU","Germany","2006","Not applicable","Not applicable","Percent","4.2793"
"DEU","Germany","1998","Not applicable","Not applicable","Percent","4.45345"
"DEU","Germany","1996","Not applicable","Not applicable","Percent","4.48694"
"DEU","Germany","1995","Not applicable","Not applicable","Percent","4.4227"
"DEU","Germany","1994","Not applicable","Not applicable","Percent","4.33488"
"DEU","Germany","1993","Not applicable","Not applicable","Percent","4.41382"
"GHA","Ghana","2013","Not applicable","Not applicable","Percent","6.03032"
"GHA","Ghana","2012","Not applicable","Not applicable","Percent","7.91914"
"GHA","Ghana","2011","Not applicable","Not applicable","Percent","8.14097"
"GHA","Ghana","2010","Not applicable","Not applicable","Percent","5.5406"
"GHA","Ghana","2009","Not applicable","Not applicable","Percent","5.31744"
"GHA","Ghana","2008","Not applicable","Not applicable","Percent","5.75796"
"GHA","Ghana","2007","Not applicable","Not applicable","Percent","5.51987"
"GHA","Ghana","2006","Not applicable","Not applicable","Percent","5.25994"
"GHA","Ghana","2005","Not applicable","Not applicable","Percent","7.42208"
"GHA","Ghana","2004","Not applicable","Not applicable","Percent","7.53558"
"GHA","Ghana","2001","Not applicable","Not applicable","Percent","5.35444"
"GHA","Ghana","1999","Not applicable","Not applicable","Percent","4.11037"
"GHA","Ghana","1988","Not applicable","Not applicable","Percent","3.18742"
"GHA","Ghana","1987","Not applicable","Not applicable","Percent","3.3067"
"GHA","Ghana","1986","Not applicable","Not applicable","Percent","3.35448"
"GHA","Ghana","1982","Not applicable","Not applicable","Percent","1.90454"
"GHA","Ghana","1981","Not applicable","Not applicable","Percent","1.80812"
"GHA","Ghana","1980","Not applicable","Not applicable","Percent","2.70777"
"GHA","Ghana","1979","Not applicable","Not applicable","Percent","2.31135"
"GHA","Ghana","1977","Not applicable","Not applicable","Percent","6.09528"
"GHA","Ghana","1976","Not applicable","Not applicable","Percent","5.82883"
"GHA","Ghana","1975","Not applicable","Not applicable","Percent","4.87654"
"GRC","Greece","2005","Not applicable","Not applicable","Percent","3.96396"
"GRC","Greece","2004","Not applicable","Not applicable","Percent","3.66719"
"GRC","Greece","2003","Not applicable","Not applicable","Percent","3.42934"
"GRC","Greece","2002","Not applicable","Not applicable","Percent","3.4243"
"GRC","Greece","2001","Not applicable","Not applicable","Percent","3.36458"
"GRC","Greece","2000","Not applicable","Not applicable","Percent","3.22126"
"GRC","Greece","1999","Not applicable","Not applicable","Percent","3.02773"
"GRC","Greece","1998","Not applicable","Not applicable","Percent","2.89255"
"GRC","Greece","1991","Not applicable","Not applicable","Percent","1.92723"
"GRC","Greece","1990","Not applicable","Not applicable","Percent","2.03857"
"GRC","Greece","1989","Not applicable","Not applicable","Percent","2.00806"
"GRC","Greece","1988","Not applicable","Not applicable","Percent","1.86208"
"GRC","Greece","1987","Not applicable","Not applicable","Percent","1.82747"
"GRC","Greece","1986","Not applicable","Not applicable","Percent","1.82663"
"GRC","Greece","1984","Not applicable","Not applicable","Percent","1.80338"
"GRC","Greece","1983","Not applicable","Not applicable","Percent","1.68248"
"GRC","Greece","1982","Not applicable","Not applicable","Percent","1.68064"
"GRC","Greece","1981","Not applicable","Not applicable","Percent","1.68658"
"GRC","Greece","1978","Not applicable","Not applicable","Percent","1.67952"
"GRC","Greece","1977","Not applicable","Not applicable","Percent","1.48823"
"GRC","Greece","1976","Not applicable","Not applicable","Percent","1.44292"
